2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
21913,Nelse,0.0,Y,Y,Y,Y
21987,Nunniong,0.0,Y,Y,Y,Y
21990,Nurran,7.0,Y,Y,Y,Y
22089,Point Wilson,0.0,Y,Y,Y,Y
22132,Quandong,5.0,Y,Y,Y,Y
22141,Ravenhall,2295.0,Y,Y,Y,Y
22162,Reynard,0.0,Y,Y,Y,Y
22196,Rosebery (Vic.),0.0,Y,Y,Y,Y
22218,Ryans,0.0,Y,Y,Y,Y
22237,Sargood,0.0,Y,Y,Y,Y
22259,Selwyn (Vic.),0.0,Y,Y,Y,Y
22300,Snake Island,0.0,Y,Y,Y,Y
22304,Somerton (Vic.),6.0,Y,Y,Y,Y
22358,Stirling (Vic.),0.0,Y,Y,Y,Y
22390,Summerlands,0.0,Y,Y,Y,Y
22407,Swan Island,0.0,Y,Y,Y,Y
22416,Tabberabbera,0.0,Y,Y,Y,Y
22435,Tamboritha,0.0,Y,Y,Y,Y
22442,Tanjil,0.0,Y,Y,Y,Y
22443,Tanjil Bren,7.0,Y,Y,Y,Y
22505,Thomson (Baw Baw - Vic.),0.0,Y,Y,Y,Y
22515,Timbarra (Vic.),0.0,Y,Y,Y,Y
22539,Toolome,0.0,Y,Y,Y,Y
22542,Toombon,0.0,Y,Y,Y,Y
22549,Toorongo,0.0,Y,Y,Y,Y
22556,Tottenham (Vic.),3.0,Y,Y,Y,Y
22561,Towaninny South,0.0,Y,Y,Y,Y
22609,Ultima East,0.0,Y,Y,Y,Y
22641,Waarre,0.0,Y,Y,Y,Y
22642,Wabonga,0.0,Y,Y,Y,Y
22652,Walhalla East,0.0,Y,Y,Y,Y
22658,Wallagaraugh,0.0,Y,Y,Y,Y
22677,Wandown,0.0,Y,Y,Y,Y
22725,Wattle Creek,0.0,Y,Y,Y,Y
22747,Wentworth (Vic.),0.0,Y,Y,Y,Y
22800,Wilsons Promontory,16.0,Y,Y,Y,N
22809,Winlaton,0.0,Y,Y,Y,Y
22827,Wongungarra,0.0,Y,Y,Y,Y
22828,Wonnangatta,0.0,Y,Y,Y,Y
22849,Woolenook,0.0,Y,Y,Y,Y
22865,Worrowing,0.0,Y,Y,Y,Y
22866,Wrathung,0.0,Y,Y,Y,Y
22867,Wrixon,0.0,Y,Y,Y,Y
22868,Wroxham,0.0,Y,Y,Y,Y
22872,Wulgulmerang West,0.0,Y,Y,Y,Y
22895,Yalmy,0.0,Y,Y,Y,Y
22905,Yangoura,0.0,Y,Y,Y,Y
22936,York Plains (Vic.),0.0,Y,Y,Y,Y
22944,Zumsteins,0.0,Y,Y,Y,Y
29494,No usual address (Vic.),9089.0,Y,Y,Y,Y
29797,Migratory - Offshore - Shipping (Vic.),38.0,Y,Y,Y,Y
30028,Aldoga,0.0,Y,Y,Y,Y
30052,Amber,0.0,Y,Y,Y,Y
30053,Amberley,619.0,Y,Y,Y,Y
30070,Arafura Sea,0.0,Y,Y,Y,Y
30150,Barakula,0.0,Y,Y,Y,Y
30164,Barlyne,0.0,Y,Y,Y,Y
30177,Barron Gorge,0.0,Y,Y,Y,Y
30179,Barwidgi,0.0,Y,Y,Y,Y
30181,Basilisk,0.0,Y,Y,Y,Y
30186,Bauple Forest,9.0,Y,Y,Y,Y
30217,Bellevue (Qld),0.0,Y,Y,Y,Y
30258,Binna Burra (Qld),0.0,Y,Y,Y,Y
30275,Blackdown,0.0,Y,Y,Y,Y
30305,Bolwarra (Qld),0.0,Y,Y,Y,Y
30325,Boondandilla,0.0,Y,Y,Y,Y
30341,Bountiful Islands,0.0,Y,Y,Y,Y
30368,Bribie Island North,0.0,Y,Y,Y,Y
30378,Brisbane Airport,22.0,Y,Y,Y,Y
30401,Buaraba South,0.0,Y,Y,Y,Y
30405,Buckingham (Qld),0.0,Y,Y,Y,Y
30414,Bulleringa,0.0,Y,Y,Y,Y
30454,Burrar Islet,0.0,Y,Y,Y,Y
30464,Bybera,0.0,Y,Y,Y,Y
30466,Byellee,0.0,Y,Y,Y,Y
30526,Cape Conway,0.0,Y,Y,Y,Y
30536,Cardstone,0.0,Y,Y,Y,Y
30545,Carole Park,8.0,Y,Y,Y,Y
30649,Collaroy (Qld),0.0,Y,Y,Y,Y
30683,Cooloola,0.0,Y,Y,Y,Y
30690,Coominglah Forest,0.0,Y,Y,Y,Y
30714,Coppabella (Qld),594.0,Y,Y,Y,Y
30718,Coralie,0.0,Y,Y,Y,Y
30784,Dagmar,0.0,Y,Y,Y,Y
30794,Dalga,6.0,Y,Y,Y,Y
30820,Dedin,0.0,Y,Y,Y,Y
30837,Diamantina Lakes,0.0,Y,Y,Y,Y
30857,Djiru,0.0,Y,Y,Y,Y
30861,Domville,0.0,Y,Y,Y,Y
30872,Dowar Islet,0.0,Y,Y,Y,Y
30899,Dunk,23.0,Y,Y,Y,Y
30906,Durah,0.0,Y,Y,Y,Y
30921,East Creek,0.0,Y,Y,Y,Y
30949,Eight Mile Creek (Qld),0.0,Y,Y,Y,Y
30970,Ellis Beach,5.0,Y,Y,Y,Y
30998,Eungella Dam,4.0,Y,Y,Y,Y
30999,Eungella Hinterland,4.0,Y,Y,Y,Y
31003,Eurimbula,0.0,Y,Y,Y,Y
31007,Evans Landing,56.0,Y,Y,Y,N
31052,Fletcher Creek,0.0,Y,Y,Y,Y
31056,Florence Bay,0.0,Y,Y,Y,Y
31076,Fossilbrook,0.0,Y,Y,Y,Y
31091,Gadgarra,0.0,Y,Y,Y,Y
31097,Gangalidda,0.0,Y,Y,Y,Y
31103,Garrawalt,0.0,Y,Y,Y,Y
31116,Gidya,0.0,Y,Y,Y,Y
31126,Gindoran,0.0,Y,Y,Y,Y
31150,Glen Ruth,0.0,Y,Y,Y,Y
31203,Goorganga Creek,0.0,Y,Y,Y,Y
31233,Great Sandy Strait,0.0,Y,Y,Y,Y
31261,Guijar Islet,0.0,Y,Y,Y,Y
31262,Gulf Of Carpentaria,0.0,Y,Y,Y,Y
