sal_code,sal_name,irsad_score,irsad_decile,ier_score,population
20874,Enochs Point,936.5456459,3.0,943.3820338,3.0
20875,Ensay,977.5526251,5.0,987.6577171,155.0
20876,Ensay North,977.5526251,5.0,987.6577171,29.0
20877,Eppalock,1001.432886,6.0,1085.895679,746.0
20878,Epping (Vic.),955.0520408,4.0,991.474347,33489.0
20879,Epsom (Vic.),957.0247651,4.0,1007.739051,5014.0
20880,Ercildoune,992.5751419,6.0,1073.62056,90.0
20881,Erica,940.7706423,3.0,950.0498547,184.0
20883,Eskdale (Vic.),975.1353787,5.0,1017.602885,238.0
20884,Esmond,1055.477629,9.0,1091.351737,17.0
20885,Essendon,1092.164467,10.0,1016.468071,21240.0
20887,Essendon North,1042.786629,9.0,961.6511504,3071.0
20888,Essendon West,1096.049028,10.0,1049.933694,1559.0
20889,Eumemmerring,882.8306643,1.0,893.9463961,2285.0
20890,Eurack,983.3707428,5.0,1027.866011,43.0
20891,Eureka (Vic.),928.2778954,3.0,912.3339947,633.0
20892,Euroa,923.7818986,2.0,945.9908634,3508.0
20893,Eurobin,954.0658424,4.0,993.0498227,239.0
20894,Evansford,935.5573304,3.0,997.5855307,147.0
20895,Eversley,952.084173,4.0,984.6495302,14.0
20896,Everton,1005.386053,7.0,1047.832196,193.0
20897,Everton Upper,1027.057791,8.0,1071.528572,154.0
20898,Exford,999.6321532,6.0,1045.45947,133.0
20899,Eynesbury,1059.15792,9.0,1123.420829,2838.0
20900,Fairbank,1043.698188,9.0,1093.813712,52.0
20901,Fairfield (Vic.),1101.887374,10.0,991.7351752,6535.0
20902,Fairhaven,1106.09696,10.0,1086.155671,390.0
20903,Fairley,985.3858436,5.0,1071.750826,14.0
20904,Fairy Dell (Campaspe - Vic.),997.3497055,6.0,1073.813435,93.0
20906,Falls Creek (Vic.),1010.834031,7.0,895.5231935,326.0
20907,Faraday,1011.025702,7.0,1059.930216,194.0
20908,Fawcett,999.7655506,6.0,1042.893526,82.0
20909,Fawkner,950.2841784,3.0,935.7341001,14274.0
20910,Fentons Creek,975.1877925,5.0,996.0877545,27.0
20911,Ferguson (Vic.),954.2032666,4.0,979.5798913,13.0
20912,Fern Hill,1090.92844,10.0,1101.720463,125.0
20913,Fernbank,915.3246492,2.0,998.7461399,194.0
20914,Ferndale (Vic.),1014.617012,7.0,1039.232327,48.0
20915,Fernihurst,1038.270105,8.0,1065.749245,32.0
20917,Ferntree Gully,1005.146682,7.0,1020.10359,27398.0
20918,Ferny Creek,1096.5321,10.0,1107.984764,1524.0
20919,Fiery Flat,937.1444944,3.0,1001.71591,28.0
20920,Fingal (Vic.),1047.035758,9.0,1093.831363,637.0
20921,Fish Creek,1012.578133,7.0,1035.924349,858.0
20922,Fish Point,963.8094731,4.0,1026.03093,11.0
20923,Fiskville,988.6115437,6.0,1054.070583,18.0
20924,Fitzroy (Vic.),1065.855679,9.0,884.1488096,10431.0
20925,Fitzroy North,1125.161684,10.0,961.9020757,12781.0
20926,Flaggy Creek,960.8791802,4.0,1035.488126,104.0
20927,Flagstaff,945.4674974,3.0,1021.290631,97.0
20929,Flemington,976.3606282,5.0,843.5691196,7025.0
20930,Flinders (Vic.),1111.418688,10.0,1085.665951,1130.0
20931,Flora Hill,945.2360003,3.0,895.4415259,3989.0
20932,Flowerdale (Vic.),930.1634441,3.0,981.6061539,790.0
20933,Flynn (Vic.),1015.338557,7.0,1067.619369,188.0
20934,Flynns Creek,982.5388407,5.0,1051.385304,12.0
20935,Footscray,1029.885778,8.0,895.2967257,17131.0
20936,Forbes (Vic.),1018.819001,7.0,1085.175431,158.0
20937,Forest Hill (Vic.),1035.514693,8.0,999.3370745,10780.0
20938,Forge Creek,981.524803,5.0,1036.936741,346.0
20939,Forrest (Vic.),993.3294864,6.0,998.5121809,257.0
20940,Foster,943.360076,3.0,961.3270962,2044.0
20941,Foster North,1016.829741,7.0,1049.438963,152.0
20942,Fosterville,1000.315317,6.0,1046.687845,57.0
20943,Foxhow,988.8761912,6.0,1008.490195,31.0
20944,Framlingham,931.3758845,3.0,1045.043567,169.0
20945,Framlingham East,1038.971868,8.0,1090.484361,25.0
20946,Franklinford,988.2901633,6.0,1020.492667,71.0
20947,Frankston,953.4179571,4.0,946.4794738,37331.0
20948,Frankston North,837.8534488,1.0,864.8109009,5711.0
20949,Frankston South,1062.263939,9.0,1076.227262,18801.0
20950,Fraser Rise,1037.558957,8.0,1090.129229,9097.0
20951,Freeburgh,1019.884147,7.0,1059.744476,136.0
20952,French Island,998.4028595,6.0,951.2167743,141.0
20953,Frenchmans,903.0207566,2.0,978.8941621,7.0
20954,Freshwater Creek,1058.005326,9.0,1106.926982,454.0
20955,Fryerstown,1005.199045,7.0,1020.102588,232.0
20956,Fulham (Vic.),1001.346242,6.0,1043.03621,994.0
20957,Fumina,974.8348504,5.0,1028.68967,11.0
20958,Fumina South,974.8348504,5.0,1028.68967,65.0
20959,Fyans Creek,984.6393558,5.0,1010.812498,47.0
20960,Fyansford,1091.452592,10.0,1109.133908,1206.0
20961,Gaffneys Creek,936.5456459,3.0,943.3820338,3.0
20962,Gainsborough,1029.090829,8.0,1100.966207,61.0
20963,Gannawarra,993.4870763,6.0,1059.712661,110.0
20964,Gapsted,987.0134724,6.0,1040.550128,156.0
20965,Gardenvale,1093.654887,10.0,995.0607684,1019.0
20966,Garfield,983.6490276,5.0,1051.868242,2114.0
20967,Garfield North,1028.703502,8.0,1126.306944,236.0
